le,73686
à,69336
de,61339
et,57731
la,53544
les,32131
votes,29749
2022,25147
en,24522
des,24501
du,22901
union,20191
monde,17889
divers,16825
article,15606
blancs,14888
score,14885
participation,14884
inscrits,14877
nuls,14872
gauche,14804
mai,14424
abonnés,13772
nos,13721
1,13182
réservé,12828
a,12644
candidat,12591
parti,12470
pour,12455
jour,12453
publié,12401
tour,11385
un,11299
d,11243
dans,11156
div,10846
fn,10793
droite,10763
mis,10731
g,10419
france,10343
national,9782
une,9775
2,9146
rassemblement,8993
au,8769
législatives,8646
sur,7839
avec,7429
se,7121
par,6776
république,6746
marche,6672
codes,6540
plus,6539
promo,6530
est,6399
ce,6055
3,6040
que,5817
second,5647
pas,5537
élections,5454
républicains,5420
06,5311
insoumise,5130
ps,5016
centre,4999
socialiste,4959
avril,4749
vous,4715
sa,4714
chronique,4567
ecologistes,4432
qui,4385
premier,4213
politique,4207
4,4181
présidentielle,4061
aux,3931
philippe,3905
français,3890
07,3821
macron,3793
marine,3741
m,3635
pen,3584
jeanluc,3367
résultats,3334
il,3316
sélectionner,3307
communiste,3218
extrême,3212
5,3133
direct,3120
emmanuel,3047
mélenchon,3031
services,3009
2021,2957
écologistes,2943
nouveau,2907
fg,2894
tendance,2745
nous,2743
cette,2731
000,2670
ne,2667
été,2648
campagne,2595
live,2583
7,2566
d’un,2543
6,2507
économie,2484
mag,2453
liste,2389
déroulant,2386
dlf,2381
9,2357
ont,2320
son,2275
eelv,2268
d’une,2235
mars,2207
ses,2193
après,2175
vidéos,2164
ou,2132
retour,2125
entre,2117
culture,2079
lutte,2066
guerre,2024
tribune,2019
12,2008
10,2003
nicolas,1962
ext,1956
cookies,1949
contre,1931
eu,1928
bernard,1919
page,1898
organisé,1881
candidate,1871
je,1854
n'y,1854
rn,1847
debout,1845
nathalie,1805
ouvrière,1803
notre,1764
sont,1746
19,1746
ump,1746
service,1739
2015,1734
françois,1731
2017,1724
partenaires,1700
stéphane,1696
travail,1679
groupe,1667
taha,1655
bouhafs,1655
reconquête,1654
elections,1647
valérie,1631
11,1619
société,1601
journée,1569
lr,1569
mais,1562
l'élection,1553
circonscription,1547
ukraine,1546
8,1541
connecter,1512
aubervilliers,1502
candidats,1497
newsletters,1493
08,1492
publicité,1482
0,1474
s’abonner,1473
hier,1465
légales,1462
13,1437
c,1437
majorité,1427
jean,1422
on,1396
comment,1395
lors,1392
président,1374
populaire,1367
jérémie,1347
international,1346
michel,1343
catherine,1338
fabien,1322
lamothe,1313
paris,1306
pcf,1303
arrondissement,1302
navigation,1300
modem,1292
résistons,1258
15,1257
anticapitaliste,1248
claire,1244
récit,1240
française,1213
historique,1205
14,1205
pourquoi,1202
roussel,1195
25,1192
l’actualité,1191
journal,1185
sociales,1184
lfi,1182
l’élection,1180
chef,1179
moment,1177
candidature,1177
pierre,1176
avoir,1174
comme,1169
vie,1160
portrait,1158
l’économie,1154
toute,1142
claude,1139
depuis,1131
europe,1128
nouvelle,1127
club,1126
conseil,1125
16,1118
afp,1115
marie,1114
actualités,1113
votre,1113
meilleur,1110
l'europe,1110
dupontaignan,1107
leur,1100
énergies,1096
23,1096
elle,1095
isabelle,1091
anne,1090
olivier,1090
qu’elle,1087
haut,1084
20,1083
sous,1070
sociale,1070
samedi,1057
christian,1057
débats,1056
site,1056
livres,1053
canton,1053
guides,1052
conditions,1049
17,1044
l’accord,1044
vidéo,1043
18,1041
idées,1039
gestion,1037
recettes,1035
formation,1035
laurent,1035
mémorable,1031
écologique,1025
morte,1021
alain,1020
21,1018
ensemble,1014
l’acteur,1013
commune,1013
aide,1005
professionnelle,1002
socialistes,999
enquêtes,997
mots,996
continu,989
tribunes,987
tous,985
l’intimité,984
jones,982
tueur,982
ateliers,981
croisés,981
faq,981
landry,980
charte,980
disparitions,978
caleb,978
dictionnaire,977
générales,977
confidentialité,977
marion,975
jardinage,975
citations,975
sudokus,974
mentions,974
soutenue,973
s’est,971
mise,964
verts,963
pécresse,962
2020,962
si,961
28,952
alliance,941
sera,938
fait,937
indépendants,933
dominique,928
consulter,926
jacques,926
22,919
faire,916
russe,902
sans,902
archives,902
24,902
semaine,898
juin,897
ecolo,886
twitter,882
comprendre,872
planète,869
26,869
lancé,866
avis,863
citoyenne,860
30,857
février,850
ligne,849
grand,848
facebook,848
médias,837
déplore,836
julien,835
christophe,835
thème,834
nupes,833
maréchal,831
profondeur,831
l’immigration,830
près,830
jeanmichel,829
l’abandon,826
l’etat,826
facilité,825
eric,825
salue,824
l’alliance,824
conteste,821
29,821
revendications,820
captation,817
sourdine,815
suivez,815
face,812
benoît,812
2019,811
27,809
tête,809
bien,805
ans,801
enquête,797
14h00,780
patrick,780
où,777
démocrates,771
journalistes,768
travailleurs,767
autant,754
qualifiée,748
solidarité,746
discours,744
camp,743
001,741
sud,738
citoyens,737
sylvie,734
covid19,733
procès,732
françoise,726
deux,723
grandes,723
allons,715
quand,714
parole,714
martine,713
accord,712
partis,703
chaque,698
tandis,698
thierry,693
républicaine,688
13novembre,687
voir,687
appareil,681
mode,680
questions,677
circonscriptions,676
attentats,674
nécessaire,674
mayer,668
éditorial,667
2014,666
écolo,666
trois,661
suffrages,661
santé,660
notamment,658
su,656
dont,656
progrès,656
christine,655
06h13,654
partage,654
déçus,653
19h17,653
gauches,653
l’étiquette,652
réinvesti,651
escande,650
qualité,650
aujourd’hui,650
500,649
climat,646
amazon,645
régionales,643
lassalle,643
cours,640
arthaud,639
carole,638
veux,632
matthieu,628
déjà,628
05,628
poutou,628
régionalistes,627
plusieurs,626
régionale,626
m’en,625
réconforter,624
sophie,624
asselineau,623
l’europe,621
d’achat,621
pandémie,620
iphone,613
fragments,612
david,612
alors,611
marseille,611
